# Jibe/iCIMS employer-owned career hostnames, one per line (# = comment, inline OK).
# Staged, NOT registered: unverified from this container, which cannot reach a job board.
# Promote a host only after a live `health --company <host>` run confirms it.
# The highest-volume 60 of this survey are registered in jibe.go; these are the rest.
#
careers.parkchildcare.ie   # parkchildcare (~882)
careers.giraffe.ie   # giraffe (~866)
jobs.smoothieking.com   # Smoothie King (~849)
rentokil.jibeapply.com   # Rentokil / Terminix (~840)
careers.gmr.net   # gmr (~817)
careers.usoncology.com   # US Oncology Network, TX (~784)
danone.jibeapply.com   # Danone (~759)
careers.carlehealth.org   # Carle Health, IL (~739)
careers.medpace.com   # Medpace (~721)
jobportal.reyescocacola.com   # jobportal (~709)
jobportal.reyesholdings.com   # jobportal (~706)
jobportal.reyesfleet.com   # jobportal (~706)
jobportal.martinbrower.com   # jobportal (~706)
ltcrevolution.jibeapply.com   # ltcrevolution (~693)
gdms.jibeapply.com   # gdms (~693)
fedexfreight.jibeapply.com   # FedEx Freight (~685)
jobportal.reyesbeveragegroup.com   # jobportal (~682)
signaturehealthcarejobs.com   # signaturehealthcarejobs (~670)
careers.sca.health   # sca (~666)
geogroup.jibeapply.com   # geogroup (~657)
jobs.geogroup.com   # geogroup (~651)
nortonhealthcare.jibeapply.com   # nortonhealthcare (~628)
careers.nortonhealthcareprovider.com   # nortonhealthcareprovider (~621)
wellpath.jibeapply.com   # Wellpath (~582)
careers.keysight.com   # Keysight Technologies (~567)
careers.akima.com   # Akima — Alaska Native govcon (~565)
careers.thompsonhospitality.com   # Thompson Hospitality (~557)
careers.royalfarms.com   # royalfarms (~556)
talent.firsthealth.org   # talent (~550)
jobs.keysight.com   # keysight (~549)
jobs.dish.com   # dish (~548)
careers.rivian.com   # Rivian (~546)
careers.firsthealth.org   # FirstHealth Carolinas (~538)
gopuff.jibeapply.com   # Gopuff (~537)
jobs.echostar.com   # EchoStar / DISH Network (~531)
join.readingandmath.org   # join (~509)
careers.smilebrands.com   # smilebrands (~504)
careers.gov2x.com   # V2X (former Vectrus) — base ops/LOGCAP (~475)
careers.brasfieldgorrie.com   # Brasfield & Gorrie (~451)
careers.chenega.com   # Chenega — Alaska Native defense/IC (~432)
careers.gilbaneco.com   # Gilbane (~423)
careers.kpmg.ca   # kpmg (~419)
goldbelt.jibeapply.com   # goldbelt (~390)
crashchampions.jibeapply.com   # crashchampions (~385)
talent.goldbelt.com   # talent (~385)
careers.smh.com   # Sarasota Memorial Health, FL (~381)
lincolnapts2.jibeapply.com   # Willow Bridge Property Company (~375)
careers.bowman.com   # Bowman Consulting (~373)
www.towercareers.org   # towercareers (~370)
lennox.jibeapply.com   # Lennox International (~366)
uicalaska.jibeapply.com   # uicalaska (~362)
careers.willowbridgepc.com   # willowbridgepc (~361)
careers.softwareone.com   # softwareone (~354)
jobs.bassett.org   # Bassett Healthcare Network, NY (~347)
careers.infirmaryhealth.org   # Infirmary Health (~337)
careers.shrinerschildrens.org   # Shriners Children's (~323)
prideindustries.jibeapply.com   # prideindustries (~319)
firstcitizens.jibeapply.com   # First Citizens Bank (~309)
careers.docusign.com   # docusign (~306)
careers.garmin.com   # Garmin (~305)
westerndental.jibeapply.com   # westerndental (~300)
join.casella.com   # Casella Waste Systems (~299)
careers.brightviewseniorliving.com   # Brightview Senior Living (~296)
jobs.postholdings.com   # postholdings (~292)
postholdings.jibeapply.com   # postholdings (~288)
careers.ice.com   # Intercontinental Exchange (~284)
careers.reliance.com   # reliance (~282)
careers.kindermorgan.com   # Kinder Morgan (~274)
spa.jibeapply.com   # Systems Planning and Analysis (~274)
careers.trinityservicesgroup.com   # Trinity Services Group (~272)
reliance.jibeapply.com   # Reliance Steel & Aluminum (~271)
careers.viasat.com   # Viasat (~270)
careers.jhuapl.edu   # Johns Hopkins APL (~253)
villagecareers.thebicestercollection.com   # villagecareers (~252)
careers.teamues.com   # teamues (~252)
careers.keefegroup.com   # keefegroup (~248)
careers.tkcholdings.com   # tkcholdings (~248)
harvard.jibeapply.com   # Harvard University (~241)
marvin.jibeapply.com   # marvin (~238)
careers.govcio.com   # govcio (~237)
careers.spiritaero.com   # Spirit AeroSystems (~224)
careers.noblis.org   # Noblis — nonprofit science/tech (~216)
careers.usa.skanska.com   # Skanska USA (~215)
careers.cnb.com   # cnb (~214)
careers.avispl.com   # avispl (~214)
careers.appliedmedical.com   # appliedmedical (~211)
spglobal.jibeapply.com   # S&P Global (~204)
jobs.vnshealth.org   # vnshealth (~199)
vnshealth.jibeapply.com   # vnshealth (~197)
careers.chugachgov.com   # chugachgov (~191)
careers.confluencehealth.org   # Confluence Health (~190)
pittohio.jibeapply.com   # PITT OHIO (~188)
chugach.jibeapply.com   # chugach (~188)
careers.farmandfleet.com   # farmandfleet (~187)
careers.stlukes-stl.com   # St. Luke's Hospital, St. Louis MO (~185)
careers.principal.com   # Principal Financial (~178)
careers.onebrooklynhealth.org   # onebrooklynhealth (~178)
jobs.tdindustries.com   # tdindustries (~174)
careers.riversidehealthcare.org   # Riverside Healthcare (~173)
redeemerhealth.jibeapply.com   # redeemerhealth (~172)
careers.kehe.com   # KeHE Distributors (~169)
osi-systems.jibeapply.com   # OSI Systems (~168)
stifel.jibeapply.com   # Stifel (~164)
careers.redeemerhealth.org   # redeemerhealth (~160)
careers.arcfield.com   # Arcfield — intel/C5ISR (~157)
communitymedical.jibeapply.com   # communitymedical (~157)
www.gbcijobs.com   # gbcijobs (~150)
careers.canyonranch.com   # canyonranch (~145)
jobs.booking.com   # booking (~140)
careers.pplweb.com   # pplweb (~138)
careers.incyte.com   # Incyte (~137)
